-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.01%      19.396ms        52.35%       91.918s      75.096ms       86.991s        49.56%       87.077s      71.141ms           0 B           0 B           0 B           0 B          1224            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       70.422s        40.12%       70.422s     355.665ms           0 B           0 B           0 B           0 B           198            --  
                                    aten::gelu_backward         0.00%       1.484ms         0.00%       2.561ms      38.802us       23.874s        13.60%       23.874s     361.722ms           0 B           0 B      33.35 GB      33.35 GB            66            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       23.836s        13.58%       23.836s     662.107ms           0 B           0 B           0 B           0 B            36            --  
                             aten::convolution_backward         0.01%       9.704ms         0.01%      21.812ms     519.323us       15.315s         8.73%       15.901s     378.602ms           0 B           0 B      15.04 GB      -2.22 GB            42            --  
                       aten::native_layer_norm_backward         0.00%       3.086ms         0.01%      13.123ms     218.711us       13.371s         7.62%       45.947s     765.792ms           0 B           0 B      33.44 GB     -66.78 GB            60            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        8.762s         4.99%        8.762s     162.261ms           0 B           0 B           0 B           0 B            54            --  
                                aten::cudnn_convolution         0.01%      11.643ms         0.01%      13.927ms     331.599us        8.252s         4.70%        8.252s     196.484ms           0 B           0 B      19.38 GB      19.38 GB            42            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us        7.790s         4.44%        7.790s      21.640ms           0 B           0 B           0 B           0 B           360            --  
void at::native::(anonymous namespace)::GammaBetaBac...         0.00%       0.000us         0.00%       0.000us       0.000us        7.365s         4.20%        7.365s     204.586ms           0 B           0 B           0 B           0 B            36            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        7.256s         4.13%        7.256s      16.797ms           0 B           0 B           0 B           0 B           432            --  
sm80_xmma_wgrad_implicit_gemm_indexed_bf16bf16_bf16f...         0.00%       0.000us         0.00%       0.000us       0.000us        6.763s         3.85%        6.763s     225.429ms           0 B           0 B           0 B           0 B            30            --  
                                             aten::gelu         0.00%       2.059ms         0.00%       4.035ms      61.141us        6.290s         3.58%        6.290s      95.310ms           0 B           0 B      33.34 GB      33.34 GB            66            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        6.290s         3.58%        6.290s     116.490ms           0 B           0 B           0 B           0 B            54            --  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us        5.974s         3.40%        5.974s      99.560ms           0 B           0 B           0 B           0 B            60            --  
                                              aten::add         0.00%       2.648ms         0.00%       5.437ms      75.518us        5.746s         3.27%        5.746s      79.800ms           0 B           0 B      16.90 GB      16.90 GB            72      4533.873  
void implicit_convolve_sgemm<__nv_bfloat16, __nv_bfl...         0.00%       0.000us         0.00%       0.000us       0.000us        5.409s         3.08%        5.409s     225.382ms           0 B           0 B           0 B           0 B            24            --  
                                             aten::add_         0.00%       3.193ms         0.00%       5.507ms      12.076us        5.194s         2.96%        5.194s      11.391ms           0 B           0 B           0 B           0 B           456            --  
void cudnn::engines_precompiled::nchwToNhwcKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us        4.417s         2.52%        4.417s      36.810ms           0 B           0 B           0 B           0 B           120            --  
                                            aten::fill_         0.00%       2.555ms         0.01%       8.839ms      92.073us        3.991s         2.27%        3.991s      41.575ms           0 B           0 B           0 B           0 B            96            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        3.915s         2.23%        3.915s      54.375ms           0 B           0 B           0 B           0 B            72            --  
                                aten::native_layer_norm         0.00%       4.431ms         0.01%      10.125ms     168.745us        3.624s         2.06%       17.698s     294.971ms           0 B           0 B      34.48 GB     -33.25 GB            60            --  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us        3.624s         2.06%        3.624s      60.400ms           0 B           0 B           0 B           0 B            60            --  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us        2.292s         1.31%        2.292s     191.038ms           0 B           0 B           0 B           0 B            12            --  
void cudnn::engines_precompiled::nhwcToNchwKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us        2.107s         1.20%        2.107s      35.123ms           0 B           0 B           0 B           0 B            60            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 175.567s
Self CUDA time total: 175.518s
